怪物ID,怪物名称,掉落项序号(从1开始),是否启用(0否1是),掉落概率(0-1),掉落实体最小数量,掉落实体最大数量,散射力度,食材类型ID,食材类型名称,单个掉落物食材最小数量,单个掉落物食材最大数量,备注
EnemtHailuo,海螺,1,1,1,2,4,5,13,LootSnailMeat,1,1,
EnemtHailuoLittle,小海螺,1,1,1,2,4,5,10,LootFish,1,1,
EnemtMush,蘑菇怪,1,1,1,1,1,5,5,LootMushroom,1,1,
EnemtMush2D,蘑菇怪2D,1,1,1,1,1,5,5,LootMushroom,1,1,
EnemtRat2D,老鼠怪2D,1,1,1,1,1,5,24,Loot_RatMeat,1,1,
EnemtSnail2D,蜗牛怪2D,1,1,1,1,1,5,25,Loot_Paste,1,1,
Enemy,小蛋怪,1,1,1,1,1,5,7,LootEggSmall,1,1,
Enemy_BigEgg,大蛋怪,1,1,1,1,1,5,8,LootEggBig,1,1,
Enemy_Bird,鸟怪,1,1,1,2,4,5,6,LootChickenLeg,1,1,
Enemy_Chick,小鸡怪,1,1,1,2,4,5,12,LootChicken,1,1,
Enemy_Oringe,橙色怪,1,1,1,2,4,5,9,LootTomato,1,1,
Enemy_Xiezi,蝎子怪,1,1,1,2,4,5,11,LootCrabStick,1,1,
BOSS,剧情BOSS,1,1,1,1,1,5,5,LootMushroom,1,1,
