<<<<<<< Updated upstream
技能ID,技能名称,前置技能ID,坐标,最大等级,是否稀有,技能描述,buff效果,货币类型,消耗,图标路径
0,开始探险吧！,,"0,0",1,0,通过矿车进入地下城开始探险！,,0,0,aaa
1,奥术分解仪,0:1,"1,-1",1,1,解锁副武器，长按鼠标右键可以采集资源,,0,20,aaa
2,背包扩容1,0:1,"0,-2",1,0,背包栏位+1（初始1）,,0,10,aaa
3,火球强化1,0:1,"-1,-1",10,0,火球伤害+5%,,0,5,aaa
4,高价售卖1,0:1,"-1,1",10,0,商店售卖价格+20%,,20,5,aaa
5,大胃王,0:1,"1,1",5,0,饱食度上限+20（初始100）,,0,10,aaa
6,奥术强化1,1:1,"2,-2",10,0,奥术分解伤害+10%,,0,10,aaa
7,奥术储备1,1:1,"2,-1",1,0,奥术储备+30（初始50）,,0,50,aaa
8,火球强化2,3:1,"-2,-2",1,0,火球伤害+50%,,20,250,aaa
9,火焰储备1,3:1,"-2,-1",1,0,火焰储备+30（初始50）,,20,50,aaa
10,背包扩容2,2:1,"-1,-3",1,0,背包栏位+2,,0,500,aaa
11,商店扩容1,2:1,"1,-3",1,0,商店栏位+1（初始1）,,20,20,aaa
12,栏位容量提升1,2:1,"0,-3",1,1,所有栏位容量+2（初始4）,,0,100,aaa
=======
﻿技能ID,技能名称,前置技能ID,坐标,最大等级,是否稀有,技能描述,buff效果,资源消耗,图标路径
0,开始探险吧！,,"0,0",1,0,通过矿车进入地下城开始探险！,,0:00,aaa
1,奥数分解仪,0:01,"1,-1",1,1,解锁副武器，长按鼠标右键可以采集资源,,0:20,aaa
2,背包扩容,0:01,"0,-2",1,0,背包栏位+1（初始1）,,0:10,aaa
3,火球术,0:01,"-1,-1",10,0,火球伤害+5%,,0:5|0:10|0:15|0:20|0:25|0:30|0:35|0:40|0:45|0:50,aaa
4,高价售卖,0:01,"-1,1",10,0,商店售卖价格+20%,,1:5|1:10|1:15|1:20|1:25|1:30|1:35|1:40|1:45|1:50,aaa
5,大胃王,0:01,"1,1",5,0,饱食度上限+20（初始100）,,0:10|0:15|0:20|0:25|0:30,aaa
>>>>>>> Stashed changes
